"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","101","testCase.SMP.authentication.BlackListController.editInfoMessage","test_editInfoMessage","Test_class","","","修改提示信息，无到有，更新人admin",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:35 CST 2020","154","testCase.SMP.authentication.AuthenticationPolicyController.editPolicyDesc","test_editPolicyDesc","Test_class","","","修改策略描述-描述信息从有到无",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","120","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","添加软件成功",""
"passed","Tue Sep 29 17:55:29 CST 2020","Tue Sep 29 17:55:30 CST 2020","163","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyTag","test_addPolicyTag","Test_class","","","添加策略标签-标签已存在",""
"passed","Tue Sep 29 17:55:37 CST 2020","Tue Sep 29 17:55:37 CST 2020","122","testCase.SMP.authentication.BlackListController.addblackLists","test_addblackLists","Test_class","","","添加黑名单",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","181","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件厂商",""
"passed","Tue Sep 29 17:55:30 CST 2020","Tue Sep 29 17:55:30 CST 2020","206","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyTags","test_addPolicyTags","Test_class","","","添加策略标签-策略id不存在",""
"passed","Tue Sep 29 17:55:33 CST 2020","Tue Sep 29 17:55:33 CST 2020","189","testCase.SMP.authentication.AuthenticationPolicyController.batchDelauthenticationPolicies","test_batchDelauthenticationPolicies","Test_class","","","批量删除认证策略-全部ID均存在",""
"passed","Tue Sep 29 17:55:35 CST 2020","Tue Sep 29 17:55:35 CST 2020","165","testCase.SMP.authentication.AuthenticationPolicyController.editPolicyTerminateInferior","test_editPolicyTerminateInferior","Test_class","","","修改终止低优先级策略标识-由false到true",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:46 CST 2020","107","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","typeBasis为manual",""
"passed","Tue Sep 29 17:55:34 CST 2020","Tue Sep 29 17:55:34 CST 2020","68","testCase.SMP.authentication.AuthenticationPolicyController.delauthenticationRule","test_delauthenticationRule","Test_class","","","删除策略规则-策略id不存在",""
"passed","Tue Sep 29 17:55:31 CST 2020","Tue Sep 29 17:55:31 CST 2020","194","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRule","test_addauthenticationRule","Test_class","","","添加策略规则-规则标签为3个值",""
"passed","Tue Sep 29 17:55:33 CST 2020","Tue Sep 29 17:55:33 CST 2020","80","testCase.SMP.authentication.AuthenticationPolicyController.batchDelauthenticationPolicies","test_batchDelauthenticationPolicies","Test_class","","","批量删除认证策略-单条，ID存在",""
"passed","Tue Sep 29 17:55:31 CST 2020","Tue Sep 29 17:55:31 CST 2020","149","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationPolicy","test_addauthenticationPolicy","Test_class","","","新增认证策略-规则脚本不合法",""
"passed","Tue Sep 29 17:55:48 CST 2020","Tue Sep 29 17:55:48 CST 2020","86","testCase.SMP.authentication.SoftwareController.clearClassify","test_clearClassify","Test_class","","","清空单个软件的分类信息",""
"passed","Tue Sep 29 17:55:40 CST 2020","Tue Sep 29 17:55:40 CST 2020","88","testCase.SMP.authentication.BlackListController.invalidblackLists","test_invalidblackLists","Test_class","","","使黑名单失效-Id存在,更新人不存在",""
"passed","Tue Sep 29 17:55:44 CST 2020","Tue Sep 29 17:55:44 CST 2020","60","testCase.SMP.authentication.RedirectPoliciesController.deleteRule","test_deleteRule","Test_class","","","删除策略规则-规则id存在",""
"passed","Tue Sep 29 17:55:44 CST 2020","Tue Sep 29 17:55:44 CST 2020","91","testCase.SMP.authentication.RedirectPoliciesController.addwebRedirectPolicy","test_addwebRedirectPolicy","Test_class","","","新增web重定向策略-策略规则脚本不合法",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:41 CST 2020","147","testCase.SMP.authentication.OAuthController.updateSSO","test_updateSSO","Test_class","","","修改SSO对接配置",""
"passed","Tue Sep 29 17:55:33 CST 2020","Tue Sep 29 17:55:33 CST 2020","55","testCase.SMP.authentication.AuthenticationPolicyController.delauthenticationPolicies","test_delauthenticationPolicies","Test_class","","","删除认证策略-id存在",""
"passed","Tue Sep 29 17:55:40 CST 2020","Tue Sep 29 17:55:40 CST 2020","105","testCase.SMP.authentication.OAuthController.addSSO","test_addsso","Test_class","","","添加SSO对接配置成功",""
"passed","Tue Sep 29 17:55:32 CST 2020","Tue Sep 29 17:55:33 CST 2020","220","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRuleid","test_addauthenticationRuleid","Test_class","","","添加策略规则-规则id不存在",""
"passed","Tue Sep 29 17:55:42 CST 2020","Tue Sep 29 17:55:42 CST 2020","257","testCase.SMP.authentication.OAuthController.updateSSO","test_updateSSO","Test_class","","","修改SSO对接配置-source已存在",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","106","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","软件厂商为空",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:46 CST 2020","101","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","source为MANAUL",""
"passed","Tue Sep 29 17:55:44 CST 2020","Tue Sep 29 17:55:44 CST 2020","58","testCase.SMP.authentication.RedirectPoliciesController.delRule","test_delRule","Test_class","","","删除策略规则-策略id存在，规则id不存在",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","94","testCase.SMP.authentication.BlackListController.editInfoMessage","test_editInfoMessage","Test_class","","","修改提示信息，id不存在",""
"passed","Tue Sep 29 17:55:34 CST 2020","Tue Sep 29 17:55:34 CST 2020","63","testCase.SMP.authentication.AuthenticationPolicyController.delauthenticationPolicies","test_delauthenticationPolicies","Test_class","","","删除认证策略-id不存在",""
"passed","Tue Sep 29 17:55:38 CST 2020","Tue Sep 29 17:55:38 CST 2020","99","testCase.SMP.authentication.BlackListController.editEffectiveEndTime","test_editEffectiveEndTime","Test_class","","","指定时间修改有效时间",""
"passed","Tue Sep 29 17:55:48 CST 2020","Tue Sep 29 17:55:49 CST 2020","104","testCase.SMP.authentication.SoftwareController.clearClassify","test_clearClassify","Test_class","","","清空单个软件的分类信息",""
"passed","Tue Sep 29 17:55:31 CST 2020","Tue Sep 29 17:55:32 CST 2020","197","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRule","test_addauthenticationRule","Test_class","","","添加策略规则-已存在规则-添加新规则",""
"passed","Tue Sep 29 17:55:27 CST 2020","Tue Sep 29 17:55:27 CST 2020","180","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdministrators","test_addPolicyAdministrators","Test_class","","","批量添加关联管理员-策略id不存在",""
"passed","Tue Sep 29 17:55:42 CST 2020","Tue Sep 29 17:55:43 CST 2020","121","testCase.SMP.authentication.RedirectPoliciesController.addRule","test_addRule","Test_class","","","添加策略规则-规则脚本不合法",""
"passed","Tue Sep 29 17:55:38 CST 2020","Tue Sep 29 17:55:38 CST 2020","130","testCase.SMP.authentication.BlackListController.editCategory","test_editCategory","Test_class","","","修改黑名单类型对象-USER-USER+MAC",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:46 CST 2020","102","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","软件id为空",""
"passed","Tue Sep 29 17:55:47 CST 2020","Tue Sep 29 17:55:48 CST 2020","207","testCase.SMP.authentication.SoftwareController.batchDelSoftwareInstallInfo","test_batchDelSoftwareInstallInfo","Test_class","","","批量删除软件安装信息-存在有效与无效ID",""
"passed","Tue Sep 29 17:55:25 CST 2020","Tue Sep 29 17:55:25 CST 2020","153","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationTypes","test_addAuthenticationTypes","Test_class","","","添加认证方式-添加多个，均不存在",""
"passed","Tue Sep 29 17:55:28 CST 2020","Tue Sep 29 17:55:28 CST 2020","165","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式为macAfterAuth",""
